x,y
1426,4718
5306,4507
302,7651
7790,4496
2970,6455
6218,9420
7485,2093
1437,9542
6435,9406
8373,9870
9210,7958
6408,8486
2728,7935
9648,1559
2847,8209
8341,9531
7555,1857
7650,2864
3022,7855
7010,5097
5958,816
3355,3747
9845,594
3933,2007
91,3928
1262,7083
6940,9727
5608,7896
1668,5931
2932,9366
1869,3284
7536,8862
5484,3462
7648,2154
5349,7318
94,4286
6361,5470
2212,9176
4098,9932
4359,2810
6086,4078
113,7429
9406,5722
10,5755
3682,9411
3176,6464
5422,4985
3161,4228
2060,1646
6667,489
6212,7132
1118,4033
76,815
3192,4766
8171,2457
4275,5363
3204,5844
7231,1079
6931,6301
7166,874
981,1469
8796,8175
5123,8001
2762,1181
779,6914
9102,43
8610,1499
1616,9571
6188,9009
5853,2173
1256,5789
1632,5890
9378,3767
3871,6340
941,3063
7412,8556
8580,8811
4414,9807
6798,7829
7251,5509
408,7864
5984,7130
8986,6606
9890,1480
2135,9101
171,4316
7802,1308
7905,4648
721,2064
7030,8414
3928,673
5839,6050
9688,8743
8121,4276
7162,6084
817,195
8254,1103
1982,8584
5308,9109
1019,2983
8269,4392
294,5773
2594,8796
2237,695
5213,9165
3268,2941
5950,8565
5308,7186
5303,6693
8876,5753
3851,1869
338,124
6849,5004
5236,7076
5649,9875
3535,5983
8181,475
9774,8157
7584,5549
9979,9936
2924,2503
6432,3966
8540,8329
9577,6053
4877,3220
7044,7155
1447,3901
4057,1629
6271,9742
4159,5281
9399,159
6439,0
881,8958
9196,8759
9227,3382
6494,2101
9202,7962
7496,554
7721,4593
5484,5994
159,9587
2430,3584
9713,7613
2834,3941
6523,306
9660,2028
8520,4397
7772,8065
5259,3785
7012,9140
482,1072
5678,5561
5341,2011
6149,7097
8988,1865
7045,8436
7099,222
5203,9950
4404,9811
657,751
6181,3345
1810,2802
4435,4971
3430,1696
9258,7861
5711,194
6077,53
6744,4162
1912,2856
6148,3551
7120,1742
992,8898
7491,4111
6101,7501
1908,6840
2286,7251
817,4214
9212,3761
4058,5044
6248,3695
819,2736
4018,1333
7873,7770
887,5256
460,1457
7302,8373
7890,8312
3421,952
9595,6825
1696,3943
4549,4200
7442,7368
5986,661
8013,1881
5947,3079
1027,2147
4475,9889
9780,9915
3414,170
6953,8584
2212,9166
7319,4756
9906,3907
7729,5815
3208,7310
4201,8754
4478,5164
8498,4207
4197,3253
9308,849
3679,8904
5830,589
4013,9931
8854,9477
2989,2144
3448,6330
6508,9135
9682,2789
8022,8760
4208,8668
791,6202
7313,8248
1907,998
2448,416
847,749
3917,3345
3925,2295
5975,8453
8586,2052
4244,95
1367,4304
433,7546
1180,5260
9962,4368
5034,5703
5694,4883
6138,9284
7009,4683
5513,2800
2336,8489
491,1117
6703,6322
7892,1484
8418,2094
857,4587
7960,2356
2101,8603
5136,4413
7403,1159
8024,6444
4755,4517
3424,1508
3834,4520
270,752
5105,3657
9490,5849
5828,947
3214,3684
5357,4752
4343,4770
6483,1778
188,8805
5817,9869
2715,7522
6623,7383
9974,4428
81,3647
8402,5557
8064,5180
3672,4961
9178,1132
6423,8603
8981,5602
7708,9134
3425,1129
450,8422
5032,8818
4418,8505
4480,4648
259,1553
1592,2015
2725,2164
5028,2833
9537,6347
7455,9334
7637,2465
5703,3980
195,3358
1641,3337
3211,1963
8176,792
944,2012
5188,2754
2696,3240
4856,8766
1790,6180
7726,2729
5224,7102
5131,9952
2472,5197
7981,9494
358,5554
4998,9605
2538,4825
1474,4387
7450,6678
4617,9884
7272,2228
6214,4785
9743,7052
2089,326
2555,7124
597,9801
2052,1858
9116,2715
786,8894
4799,8872
6864,659
4530,729
2768,6733
5359,1372
6970,5073
1260,3627
8812,9327
1510,4302
1201,499
164,8948
3244,3045
1727,4400
6054,4138
9495,3803
6198,878
1157,4302
254,9842
9936,479
1984,6875
59,1068
3751,6426
9079,5325
1981,5579
466,929
3336,2099
6077,6474
67,5111
9568,4176
3109,7192
6138,1303
9812,5438
9209,700
647,4941
1984,2710
2353,8163
4386,8156
2372,5134
9949,5930
615,3703
3832,9221
612,7870
2516,1829
4911,6751
2038,4745
7739,6983
3366,3875
994,892
